"","Row.names","ENSG00000167196.14","sample_type","patient","project_id","fc"
"1","TCGA-3C-AAAU-01A-11R-A41B-07","15.0155","Primary Tumor","TCGA-3C-AAAU","TCGA-BRCA","1.38573961091278"
"2","TCGA-3C-AALI-01A-11R-A41B-07","8.9174","Primary Tumor","TCGA-3C-AALI","TCGA-BRCA","1.38573961091278"
"3","TCGA-3C-AALJ-01A-31R-A41B-07","8.453","Primary Tumor","TCGA-3C-AALJ","TCGA-BRCA","1.38573961091278"
"4","TCGA-3C-AALK-01A-11R-A41B-07","8.2889","Primary Tumor","TCGA-3C-AALK","TCGA-BRCA","1.38573961091278"
"5","TCGA-4H-AAAK-01A-12R-A41B-07","5.4735","Primary Tumor","TCGA-4H-AAAK","TCGA-BRCA","1.38573961091278"
"6","TCGA-5L-AAT0-01A-12R-A41B-07","7.6472","Primary Tumor","TCGA-5L-AAT0","TCGA-BRCA","1.38573961091278"
"7","TCGA-5L-AAT1-01A-12R-A41B-07","8.4352","Primary Tumor","TCGA-5L-AAT1","TCGA-BRCA","1.38573961091278"
"8","TCGA-5T-A9QA-01A-11R-A41B-07","13.3375","Primary Tumor","TCGA-5T-A9QA","TCGA-BRCA","1.38573961091278"
"9","TCGA-A1-A0SB-01A-11R-A144-07","11.4254","Primary Tumor","TCGA-A1-A0SB","TCGA-BRCA","1.38573961091278"
"10","TCGA-A1-A0SD-01A-11R-A115-07","11.9279","Primary Tumor","TCGA-A1-A0SD","TCGA-BRCA","1.38573961091278"
"11","TCGA-A1-A0SE-01A-11R-A084-07","11.651","Primary Tumor","TCGA-A1-A0SE","TCGA-BRCA","1.38573961091278"
"12","TCGA-A1-A0SF-01A-11R-A144-07","7.0801","Primary Tumor","TCGA-A1-A0SF","TCGA-BRCA","1.38573961091278"
"13","TCGA-A1-A0SG-01A-11R-A144-07","13.9167","Primary Tumor","TCGA-A1-A0SG","TCGA-BRCA","1.38573961091278"
"14","TCGA-A1-A0SH-01A-11R-A084-07","7.8433","Primary Tumor","TCGA-A1-A0SH","TCGA-BRCA","1.38573961091278"
"15","TCGA-A1-A0SI-01A-11R-A144-07","7.3188","Primary Tumor","TCGA-A1-A0SI","TCGA-BRCA","1.38573961091278"
"16","TCGA-A1-A0SJ-01A-11R-A084-07","7.2975","Primary Tumor","TCGA-A1-A0SJ","TCGA-BRCA","1.38573961091278"
"17","TCGA-A1-A0SK-01A-12R-A084-07","17.0189","Primary Tumor","TCGA-A1-A0SK","TCGA-BRCA","1.38573961091278"
"18","TCGA-A1-A0SM-01A-11R-A084-07","12.118","Primary Tumor","TCGA-A1-A0SM","TCGA-BRCA","1.38573961091278"
"19","TCGA-A1-A0SN-01A-11R-A144-07","13.0104","Primary Tumor","TCGA-A1-A0SN","TCGA-BRCA","1.38573961091278"
"20","TCGA-A1-A0SO-01A-22R-A084-07","12.6162","Primary Tumor","TCGA-A1-A0SO","TCGA-BRCA","1.38573961091278"
"21","TCGA-A1-A0SP-01A-11R-A084-07","6.6142","Primary Tumor","TCGA-A1-A0SP","TCGA-BRCA","1.38573961091278"
"22","TCGA-A1-A0SQ-01A-21R-A144-07","8.1528","Primary Tumor","TCGA-A1-A0SQ","TCGA-BRCA","1.38573961091278"
"23","TCGA-A2-A04N-01A-11R-A115-07","12.1409","Primary Tumor","TCGA-A2-A04N","TCGA-BRCA","1.38573961091278"
"24","TCGA-A2-A04P-01A-31R-A034-07","4.0551","Primary Tumor","TCGA-A2-A04P","TCGA-BRCA","1.38573961091278"
"25","TCGA-A2-A04Q-01A-21R-A034-07","5.47","Primary Tumor","TCGA-A2-A04Q","TCGA-BRCA","1.38573961091278"
"26","TCGA-A2-A04R-01A-41R-A109-07","10.4919","Primary Tumor","TCGA-A2-A04R","TCGA-BRCA","1.38573961091278"
"27","TCGA-A2-A04T-01A-21R-A034-07","11.8353","Primary Tumor","TCGA-A2-A04T","TCGA-BRCA","1.38573961091278"
"28","TCGA-A2-A04U-01A-11R-A115-07","17.419","Primary Tumor","TCGA-A2-A04U","TCGA-BRCA","1.38573961091278"
"29","TCGA-A2-A04V-01A-21R-A034-07","7.5228","Primary Tumor","TCGA-A2-A04V","TCGA-BRCA","1.38573961091278"
"30","TCGA-A2-A04W-01A-31R-A115-07","4.1624","Primary Tumor","TCGA-A2-A04W","TCGA-BRCA","1.38573961091278"
"31","TCGA-A2-A04X-01A-21R-A034-07","14.6666","Primary Tumor","TCGA-A2-A04X","TCGA-BRCA","1.38573961091278"
"32","TCGA-A2-A04Y-01A-21R-A034-07","9.3666","Primary Tumor","TCGA-A2-A04Y","TCGA-BRCA","1.38573961091278"
"33","TCGA-A2-A0CK-01A-11R-A22K-07","7.1485","Primary Tumor","TCGA-A2-A0CK","TCGA-BRCA","1.38573961091278"
"34","TCGA-A2-A0CL-01A-11R-A115-07","6.9174","Primary Tumor","TCGA-A2-A0CL","TCGA-BRCA","1.38573961091278"
"35","TCGA-A2-A0CM-01A-31R-A034-07","10.5815","Primary Tumor","TCGA-A2-A0CM","TCGA-BRCA","1.38573961091278"
"36","TCGA-A2-A0CO-01A-13R-A22K-07","6.2262","Primary Tumor","TCGA-A2-A0CO","TCGA-BRCA","1.38573961091278"
"37","TCGA-A2-A0CP-01A-11R-A034-07","8.6886","Primary Tumor","TCGA-A2-A0CP","TCGA-BRCA","1.38573961091278"
"38","TCGA-A2-A0CQ-01A-21R-A034-07","8.3609","Primary Tumor","TCGA-A2-A0CQ","TCGA-BRCA","1.38573961091278"
"39","TCGA-A2-A0CR-01A-11R-A22K-07","4.3481","Primary Tumor","TCGA-A2-A0CR","TCGA-BRCA","1.38573961091278"
"40","TCGA-A2-A0CS-01A-11R-A115-07","7.647","Primary Tumor","TCGA-A2-A0CS","TCGA-BRCA","1.38573961091278"
"41","TCGA-A2-A0CT-01A-31R-A056-07","8.9445","Primary Tumor","TCGA-A2-A0CT","TCGA-BRCA","1.38573961091278"
"42","TCGA-A2-A0CU-01A-12R-A034-07","8.0857","Primary Tumor","TCGA-A2-A0CU","TCGA-BRCA","1.38573961091278"
"43","TCGA-A2-A0CV-01A-31R-A115-07","10.4532","Primary Tumor","TCGA-A2-A0CV","TCGA-BRCA","1.38573961091278"
"44","TCGA-A2-A0CW-01A-21R-A115-07","13.2098","Primary Tumor","TCGA-A2-A0CW","TCGA-BRCA","1.38573961091278"
"45","TCGA-A2-A0CX-01A-21R-A00Z-07","6.483","Primary Tumor","TCGA-A2-A0CX","TCGA-BRCA","1.38573961091278"
"46","TCGA-A2-A0CY-01A-12R-A034-07","4.9787","Primary Tumor","TCGA-A2-A0CY","TCGA-BRCA","1.38573961091278"
"47","TCGA-A2-A0CZ-01A-11R-A034-07","5.17","Primary Tumor","TCGA-A2-A0CZ","TCGA-BRCA","1.38573961091278"
"48","TCGA-A2-A0D0-01A-11R-A00Z-07","14.4093","Primary Tumor","TCGA-A2-A0D0","TCGA-BRCA","1.38573961091278"
"49","TCGA-A2-A0D1-01A-11R-A034-07","10.976","Primary Tumor","TCGA-A2-A0D1","TCGA-BRCA","1.38573961091278"
"50","TCGA-A2-A0D2-01A-21R-A034-07","22.3128","Primary Tumor","TCGA-A2-A0D2","TCGA-BRCA","1.38573961091278"
"51","TCGA-A2-A0D3-01A-11R-A115-07","11.5397","Primary Tumor","TCGA-A2-A0D3","TCGA-BRCA","1.38573961091278"
"52","TCGA-A2-A0D4-01A-11R-A00Z-07","5.1204","Primary Tumor","TCGA-A2-A0D4","TCGA-BRCA","1.38573961091278"
"53","TCGA-A2-A0EM-01A-11R-A034-07","10.2517","Primary Tumor","TCGA-A2-A0EM","TCGA-BRCA","1.38573961091278"
"54","TCGA-A2-A0EN-01A-13R-A084-07","5.4992","Primary Tumor","TCGA-A2-A0EN","TCGA-BRCA","1.38573961091278"
"55","TCGA-A2-A0EO-01A-11R-A034-07","6.6232","Primary Tumor","TCGA-A2-A0EO","TCGA-BRCA","1.38573961091278"
