"Row.names" "ENSG00000077254.14" "sample_type" "patient" "project_id" "fc"
"TCGA-3C-AAAU-01A-11R-A41B-07" 54.3938 "Primary Tumor" "TCGA-3C-AAAU" "TCGA-BRCA" 0.821642066058639
"TCGA-3C-AALI-01A-11R-A41B-07" 22.9744 "Primary Tumor" "TCGA-3C-AALI" "TCGA-BRCA" 0.821642066058639
"TCGA-3C-AALJ-01A-31R-A41B-07" 25.7868 "Primary Tumor" "TCGA-3C-AALJ" "TCGA-BRCA" 0.821642066058639
"TCGA-3C-AALK-01A-11R-A41B-07" 31.0184 "Primary Tumor" "TCGA-3C-AALK" "TCGA-BRCA" 0.821642066058639
"TCGA-4H-AAAK-01A-12R-A41B-07" 38.474 "Primary Tumor" "TCGA-4H-AAAK" "TCGA-BRCA" 0.821642066058639
"TCGA-5L-AAT0-01A-12R-A41B-07" 34.411 "Primary Tumor" "TCGA-5L-AAT0" "TCGA-BRCA" 0.821642066058639
"TCGA-5L-AAT1-01A-12R-A41B-07" 31.9012 "Primary Tumor" "TCGA-5L-AAT1" "TCGA-BRCA" 0.821642066058639
"TCGA-5T-A9QA-01A-11R-A41B-07" 16.4762 "Primary Tumor" "TCGA-5T-A9QA" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SB-01A-11R-A144-07" 45.3734 "Primary Tumor" "TCGA-A1-A0SB" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SD-01A-11R-A115-07" 64.8441 "Primary Tumor" "TCGA-A1-A0SD" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SE-01A-11R-A084-07" 43.0256 "Primary Tumor" "TCGA-A1-A0SE" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SF-01A-11R-A144-07" 22.5738 "Primary Tumor" "TCGA-A1-A0SF" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SG-01A-11R-A144-07" 35.8476 "Primary Tumor" "TCGA-A1-A0SG" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SH-01A-11R-A084-07" 48.4633 "Primary Tumor" "TCGA-A1-A0SH" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SI-01A-11R-A144-07" 54.6159 "Primary Tumor" "TCGA-A1-A0SI" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SJ-01A-11R-A084-07" 47.0977 "Primary Tumor" "TCGA-A1-A0SJ" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SK-01A-12R-A084-07" 78.4041 "Primary Tumor" "TCGA-A1-A0SK" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SM-01A-11R-A084-07" 72.0475 "Primary Tumor" "TCGA-A1-A0SM" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SN-01A-11R-A144-07" 34.6191 "Primary Tumor" "TCGA-A1-A0SN" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SO-01A-22R-A084-07" 32.8221 "Primary Tumor" "TCGA-A1-A0SO" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SP-01A-11R-A084-07" 34.8955 "Primary Tumor" "TCGA-A1-A0SP" "TCGA-BRCA" 0.821642066058639
"TCGA-A1-A0SQ-01A-21R-A144-07" 51.5378 "Primary Tumor" "TCGA-A1-A0SQ" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A04N-01A-11R-A115-07" 34.1541 "Primary Tumor" "TCGA-A2-A04N" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A04P-01A-31R-A034-07" 12.4644 "Primary Tumor" "TCGA-A2-A04P" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A04Q-01A-21R-A034-07" 15.7552 "Primary Tumor" "TCGA-A2-A04Q" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A04R-01A-41R-A109-07" 24.29 "Primary Tumor" "TCGA-A2-A04R" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A04T-01A-21R-A034-07" 17.9565 "Primary Tumor" "TCGA-A2-A04T" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A04U-01A-11R-A115-07" 45.8331 "Primary Tumor" "TCGA-A2-A04U" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A04V-01A-21R-A034-07" 31.954 "Primary Tumor" "TCGA-A2-A04V" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A04W-01A-31R-A115-07" 26.9879 "Primary Tumor" "TCGA-A2-A04W" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A04X-01A-21R-A034-07" 28.2795 "Primary Tumor" "TCGA-A2-A04X" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A04Y-01A-21R-A034-07" 20.9097 "Primary Tumor" "TCGA-A2-A04Y" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CK-01A-11R-A22K-07" 32.0504 "Primary Tumor" "TCGA-A2-A0CK" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CL-01A-11R-A115-07" 38.9518 "Primary Tumor" "TCGA-A2-A0CL" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CM-01A-31R-A034-07" 36.751 "Primary Tumor" "TCGA-A2-A0CM" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CO-01A-13R-A22K-07" 40.6258 "Primary Tumor" "TCGA-A2-A0CO" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CP-01A-11R-A034-07" 21.4759 "Primary Tumor" "TCGA-A2-A0CP" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CQ-01A-21R-A034-07" 35.4667 "Primary Tumor" "TCGA-A2-A0CQ" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CR-01A-11R-A22K-07" 15.2684 "Primary Tumor" "TCGA-A2-A0CR" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CS-01A-11R-A115-07" 37.2268 "Primary Tumor" "TCGA-A2-A0CS" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CT-01A-31R-A056-07" 35.9826 "Primary Tumor" "TCGA-A2-A0CT" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CU-01A-12R-A034-07" 42.6643 "Primary Tumor" "TCGA-A2-A0CU" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CV-01A-31R-A115-07" 51.5087 "Primary Tumor" "TCGA-A2-A0CV" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CW-01A-21R-A115-07" 36.2757 "Primary Tumor" "TCGA-A2-A0CW" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CX-01A-21R-A00Z-07" 16.8001 "Primary Tumor" "TCGA-A2-A0CX" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CY-01A-12R-A034-07" 8.6579 "Primary Tumor" "TCGA-A2-A0CY" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0CZ-01A-11R-A034-07" 20.3263 "Primary Tumor" "TCGA-A2-A0CZ" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0D0-01A-11R-A00Z-07" 36.1079 "Primary Tumor" "TCGA-A2-A0D0" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0D1-01A-11R-A034-07" 20.7643 "Primary Tumor" "TCGA-A2-A0D1" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0D2-01A-21R-A034-07" 34.845 "Primary Tumor" "TCGA-A2-A0D2" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0D3-01A-11R-A115-07" 50.122 "Primary Tumor" "TCGA-A2-A0D3" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0D4-01A-11R-A00Z-07" 32.2129 "Primary Tumor" "TCGA-A2-A0D4" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0EM-01A-11R-A034-07" 62.0389 "Primary Tumor" "TCGA-A2-A0EM" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0EN-01A-13R-A084-07" 20.9955 "Primary Tumor" "TCGA-A2-A0EN" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0EO-01A-11R-A034-07" 27.7679 "Primary Tumor" "TCGA-A2-A0EO" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0EP-01A-52R-A22U-07" 28.3448 "Primary Tumor" "TCGA-A2-A0EP" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0EQ-01A-11R-A034-07" 23.1427 "Primary Tumor" "TCGA-A2-A0EQ" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0ER-01A-21R-A034-07" 51.5947 "Primary Tumor" "TCGA-A2-A0ER" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0ES-01A-11R-A115-07" 59.8195 "Primary Tumor" "TCGA-A2-A0ES" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0ET-01A-31R-A034-07" 60.485 "Primary Tumor" "TCGA-A2-A0ET" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0EU-01A-22R-A056-07" 50.9442 "Primary Tumor" "TCGA-A2-A0EU" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0EV-01A-11R-A034-07" 40.3115 "Primary Tumor" "TCGA-A2-A0EV" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0EW-01A-21R-A115-07" 69.1485 "Primary Tumor" "TCGA-A2-A0EW" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0EX-01A-21R-A034-07" 33.2626 "Primary Tumor" "TCGA-A2-A0EX" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0EY-01A-11R-A034-07" 23.7966 "Primary Tumor" "TCGA-A2-A0EY" "TCGA-BRCA" 0.821642066058639
