,USP33,USP39,FBXO22,DDIT4,RGS5,EI
TCGA-CM-4743-01A-01R-1723-07,20.1167,44.6191,8.8755,65.8897,33.2814,0.38819048
TCGA-D5-6931-01A-11R-1928-07,34.5102,55.211,9.6937,110.8699,16.3968,0.15266861
TCGA-AD-A5EK-01A-11R-A28H-07,25.2589,70.9294,9.3869,64.0133,29.411,0.18723099
TCGA-G4-6625-01A-21R-1774-07,21.1633,57.7294,5.701,41.837,54.0345,0.18860521
TCGA-G4-6298-01A-11R-1723-07,11.5542,63.5077,8.2321,55.4704,11.1163,0.11179866
TCGA-RU-A8FL-01A-11R-A37K-07,15.4317,64.1444,5.3544,77.5863,15.5528,0.07296872
TCGA-AM-5820-01A-01R-1653-07,32.7642,77.1116,19.0572,82.7194,68.8668,0.34624188
TCGA-G4-6586-01A-11R-1774-07,22.2013,49.7634,9.3446,249.1398,4.8076,0.1051691
TCGA-CK-4951-01A-01R-1410-07,24.3037,54.8946,9.4182,91.8508,18.5377,0.2370224
TCGA-AA-3660-01A-01R-1723-07,25.5848,61.7754,8.4525,42.2592,41.5598,0.14188529
TCGA-DM-A28E-01A-11R-A32Y-07,27.8716,53.6616,9.4926,56.1365,18.0606,0.08830698
TCGA-AY-A71X-01A-12R-A37K-07,25.746,41.3924,9.4374,43.9295,12.2823,0.02792489
TCGA-NH-A6GA-01A-11R-A37K-07,19.5128,86.1334,14.859,69.6921,28.2763,0.11909528
TCGA-CM-6162-01A-11R-1653-07,44.1475,60.7954,8.4997,82.0922,80.9657,0.54049116
TCGA-AZ-4615-01A-01R-1410-07,36.1052,72.501,12.3739,292.4297,14.7087,0.13276918
TCGA-A6-5667-01A-21R-1723-07,30.2774,87.0748,10.0309,37.2952,52.1065,0.10857453
TCGA-A6-6142-01A-11R-1774-07,26.0286,45.1109,5.2168,210.7754,59.8776,0.54577157
TCGA-A6-A565-01A-31R-A28H-07,25.9039,35.6418,5.8696,69.9799,48.3162,0.81956266
TCGA-AZ-6606-01A-11R-1839-07,25.3926,54.2268,7.6199,83.2743,29.5496,0.24545037
TCGA-4N-A93T-01A-11R-A37K-07,12.4982,44.2119,3.1966,29.6082,12.7295,0.04061342
TCGA-DM-A1D9-01A-11R-A155-07,27.9877,65.9431,5.2781,11.6179,12.8361,0.05459089
TCGA-DM-A1D6-01A-21R-A155-07,14.279,72.9465,4.9007,35.3318,8.8467,0.02576301
TCGA-CM-6677-01A-11R-1839-07,24.4724,73.2414,6.3994,28.0094,48.9128,0.35835029
TCGA-CM-5861-01A-01R-1653-07,25.3593,41.3485,7.0709,70.0698,13.1332,0.18006722
TCGA-DM-A288-01A-11R-A16W-07,20.872,55.8482,11.6417,29.8585,12.6725,0.15353888
TCGA-CA-6718-01A-11R-1839-07,48.2267,134.9663,12.3208,185.0883,22.667,0.25157846
TCGA-A6-2675-01A-02R-1723-07,30.5795,52.2274,5.618,31.4302,44.1717,0.21450563
TCGA-D5-6535-01A-11R-1723-07,23.6457,52.1818,5.7252,262.2078,44.8547,0.24575131
TCGA-A6-6138-01A-11R-1774-07,35.1361,70.1733,5.7676,83.2486,86.098,0.50883757
TCGA-DM-A28F-01A-11R-A32Y-07,21.5678,49.2558,7.5384,91.1883,10.3839,0.05624247
