,USP33,USP39,FBXO22,DDIT4,RGS5,EI
TCGA-CZ-4862,58.7238,42.026,12.5266,160.3253,955.6091,0.913725
TCGA-A3-3380,28.3793,23.0586,5.8951,362.1857,1531.809,0.98291906
TCGA-B4-5836,57.0492,36.3713,9.6924,390.3747,2850.5072,0.98413781
TCGA-B8-A54D,34.1517,22.4329,10.422,111.2732,119.2582,0.89943323
TCGA-BP-4771,24.7212,30.2636,6.7163,133.7065,838.1454,0.97135936
TCGA-B0-4823,32.2381,29.3151,6.9639,226.9292,1803.0366,0.97335188
TCGA-AK-3434,37.6866,28.6339,6.1309,329.2457,2386.6017,0.99178997
TCGA-AK-3429,34.5271,37.9469,7.9234,103.2207,1286.5815,0.96154368
TCGA-BP-4765,37.9212,31.5299,8.5311,213.17,2744.266,0.97789656
TCGA-B0-5104,28.152,28.0605,7.1949,116.2475,1465.8864,0.93808759
TCGA-BP-4332,39.2858,30.5257,5.4743,97.1133,2212.7707,0.98654346
TCGA-BP-5168,30.5776,21.0917,4.6951,71.8949,2952.8804,0.99107439
TCGA-B0-5400,19.6205,31.7945,6.1148,231.216,329.3856,0.74616219
TCGA-BP-5202,30.9351,28.7119,8.7068,302.4354,996.0637,0.95675144
TCGA-B0-4846,49.9485,35.0812,9.756,137.7741,3713.6753,0.96820068
TCGA-B4-5377,49.7811,31.9047,10.152,199.8669,1342.4803,0.93286145
TCGA-BP-4177,41.2247,36.5201,9.6288,187.4905,2423.3318,0.97451654
TCGA-BP-5194,38.3504,22.643,5.6161,216.5195,2119.4124,0.9904114
TCGA-BP-4334,7.6511,11.0464,4.1902,8.7258,11.7646,0.63958271
TCGA-B0-4814,34.6663,24.3995,6.3905,372.4039,1448.2947,0.94397874
TCGA-CJ-4869,16.7447,27.6762,6.4679,162.9447,629.7955,0.96954758
TCGA-B2-4098,10.746,22.133,6.4425,13.6092,19.5466,0.21028398
TCGA-3Z-A93Z,26.1681,35.6931,6.9198,346.2765,1191.2548,0.98766694
TCGA-BP-4170,35.4371,28.6895,6.8067,226.829,1761.6855,0.98342443
TCGA-CJ-4901,17.4407,22.0758,4.2145,416.9371,198.7457,0.97659531
TCGA-CJ-6031,20.3628,23.7999,4.6202,138.165,878.9068,0.98674907
TCGA-BP-4782,31.7633,28.7257,7.1229,407.5968,1740.296,0.96543026
TCGA-MM-A564,19.2746,19.2795,3.0874,34.9215,1225.7942,0.99581653
TCGA-A3-3322,28.3401,18.6848,7.7449,105.3563,1100.027,0.95404848
TCGA-A3-3352,37.4433,24.6766,7.1306,154.5451,701.909,0.98540133
TCGA-A3-3313,16.3618,21.7824,7.3774,16.4428,215.4364,0.85968516
TCGA-A3-3351,52.1364,30.2665,7.6984,166.924,1610.6228,0.98283625
TCGA-BP-4347,35.1283,34.7831,10.2949,190.9071,2668.8889,0.98800386
TCGA-B0-4815,18.0982,23.4089,7.807,196.9048,210.4354,0.89224342
TCGA-B0-5102,15.5868,24.4584,8.3267,64.0909,280.2307,0.96483064
TCGA-B8-4621,20.6042,20.6126,6.134,51.8051,20.3118,0.45248844
TCGA-BP-4165,23.1047,20.8967,4.8616,87.7285,2171.2893,0.99357982
TCGA-CW-6097,40.7686,45.7691,12.2013,316.0628,777.6413,0.94405769
TCGA-AK-3447,9.2726,19.1395,6.3151,33.6646,46.9622,0.62597217
TCGA-B8-5553,47.3488,34.5279,8.5374,304.5874,1733.3811,0.97315959
TCGA-BP-4343,41.0444,41.4729,8.3504,62.978,2499.5004,0.98130929
TCGA-B8-4148,43.9799,36.863,9.83,225.7674,1604.8939,0.96080434
TCGA-B0-5707,27.5939,30.41,11.9238,28.2663,37.4369,0.05861583
TCGA-A3-3326,30.9748,20.7306,5.4084,267.4074,1076.3507,0.96494648
TCGA-CJ-4644,40.1311,33.6842,9.7863,174.9839,2341.2515,0.98268241
TCGA-AK-3425,25.842,26.388,6.2085,417.0609,383.5902,0.95407558
TCGA-CJ-6027,27.4851,30.2243,9.9102,86.4451,327.7141,0.82377167
TCGA-BP-4173,35.3126,37.6163,7.7072,258.1327,637.8709,0.95562425
TCGA-B0-5106,28.7519,24.8889,8.2232,318.593,909.8364,0.99423054
TCGA-BP-4354,44.1044,47.6206,10.9228,272.4321,349.0028,0.87766113
TCGA-B2-4101,33.2069,28.6424,8.1596,243.6049,1292.3611,0.99494027
TCGA-BP-4763,50.0767,39.0921,11.7782,240.8481,2771.7094,0.97472967
TCGA-A3-3376,46.3009,38.067,8.3471,185.4124,3947.4605,0.99491449
TCGA-G6-A8L6,21.7106,26.9781,3.7783,234.0172,915.1979,0.99650262
TCGA-BP-4964,27.1107,17.5752,6.9295,229.6259,1689.0108,0.97856857
TCGA-B0-5094,32.6135,28.6964,11.3594,246.9698,518.533,0.63171364
TCGA-B4-5832,79.0191,20.1156,10.6603,12.1752,2611.0952,0.93557032
TCGA-AK-3460,32.9529,24.4917,8.4819,348.8009,1972.6749,0.98657542
TCGA-B0-4703,43.6037,41.8372,10.6092,393.4229,1519.9861,0.97542859
TCGA-BP-5177,24.1078,23.3459,5.3975,120.3249,3959.6335,0.99424786
TCGA-BP-4351,31.0397,26.7939,8.0853,766.582,1724.0221,0.98226016
TCGA-AK-3431,50.073,38.8862,7.4057,268.1427,3880.2219,0.99535327
TCGA-BP-5195,31.8901,24.9876,8.9557,201.9073,2142.3252,0.98894856
TCGA-CJ-4900,12.7294,18.6025,4.5387,121.3092,262.7032,0.96485035
TCGA-BP-4768,26.6354,24.3397,6.4489,205.2286,475.9229,0.95154132
TCGA-A3-A6NN,37.4,36.8582,7.8668,368.8414,1186.0749,0.99038907
TCGA-BP-4962,17.7149,20.4238,5.9204,54.6178,371.9519,0.84454577
TCGA-B8-5164,58.0923,39.9733,12.8038,79.7613,329.5784,0.85782519
TCGA-AK-3444,39.9804,37.287,8.5409,335.3905,1208.6025,0.96583275
TCGA-CJ-4897,31.563,26.7782,8.0382,169.1634,1678.8832,0.97387771
TCGA-AK-3433,22.5559,14.7063,7.8132,13.5303,52.3898,0.65844282
TCGA-B2-5639,27.1485,37.7522,6.6386,123.7343,258.3489,0.91473196
TCGA-CJ-4904,37.3429,35.7063,8.8476,254.8246,3686.4642,0.99367752
TCGA-A3-3324,30.6359,24.3745,7.8747,111.0462,1154.495,0.98549456
TCGA-BP-4759,14.1001,17.4945,2.6589,158.4626,1435.7263,0.99432128
TCGA-B0-4693,33.7857,21.7371,7.2749,134.2838,1251.9878,0.97522049
TCGA-B8-A54K,38.1438,27.3182,6.6101,537.0156,1561.6337,0.97778999
TCGA-B2-5633,66.0629,16.7108,9.7577,99.2973,676.4922,0.98827167
