,USP33,USP39,FBXO22,DDIT4,RGS5,EI
TCGA-AG-A00Y-01A-02R-A002-07,11.3533,71.5542,3.7492,35.5727,13.8463,0.06823253
TCGA-AG-3890-01A-01R-1119-07,14.8537,46.59,5.3473,66.7849,28.7777,0.14695137
TCGA-AG-3601-01A-01R-0826-07,19.3702,57.9962,6.5555,66.9812,24.6394,0.28266727
TCGA-AG-4008-01A-01R-1119-07,24.5978,67.055,5.0704,62.6383,63.8858,0.21942201
TCGA-AG-A02G-01A-01R-A00A-07,9.481,62.4208,4.7995,47.4241,9.3127,0.04444352
TCGA-AG-3609-01A-02R-0826-07,16.0646,69.3858,10.7698,43.7877,23.6403,0.22070503
TCGA-AG-A02X-01A-01R-A00A-07,20.4271,53.904,5.0938,112.0698,12.2098,0.08763482
TCGA-AG-A01W-01A-21R-A083-07,21.5514,67.4855,13.5427,70.9934,18.6743,0.15485358
TCGA-AG-A01L-01A-01R-A002-07,19.0757,63.7064,6.892,96.5291,13.3952,0.05280042
TCGA-AG-3574-01A-01R-0821-07,18.7284,51.4291,8.211,103.283,32.7274,0.1404431
TCGA-AG-A015-01A-01R-A002-07,19.7125,47.3923,6.0109,74.1169,12.6378,0.05516883
TCGA-AG-A00C-01A-01R-A002-07,15.1305,45.9558,6.2691,146.8446,5.1803,0.02078249
TCGA-AG-3727-01A-01R-0905-07,3.4471,35.6762,11.0434,358.8147,4.9347,0.1928394
TCGA-AG-3598-01A-01R-0826-07,22.4543,73.0339,8.9999,112.3714,25.7388,0.13497674
TCGA-AG-3578-01A-01R-0821-07,30.1151,49.1703,4.3969,45.3524,24.6267,0.06838401
TCGA-AG-3893-01A-01R-1119-07,20.3259,50.1866,4.8751,52.1157,25.1865,0.10211489
TCGA-AG-4007-01A-01R-1119-07,15.3602,60.5818,6.1209,126.6073,35.7464,0.18307052
TCGA-AG-A008-01A-01R-A002-07,22.7479,72.9613,7.2892,57.9875,18.0679,0.16852388
TCGA-AG-A01J-01A-01R-A00A-07,12.5695,34.6506,2.6385,53.8809,9.3519,0.05294886
TCGA-AG-3909-01A-01R-1119-07,15.256,64.8741,4.3652,67.8531,22.8995,0.07645078
TCGA-AG-4005-01A-01R-1119-07,22.9956,72.9419,5.5393,81.0467,21.7433,0.2031896
TCGA-AG-A020-01A-21R-A083-07,23.9081,75.8463,10.2441,140.778,9.6198,0.05638627
TCGA-AG-3892-01A-01R-1119-07,21.9313,56.6717,12.3773,181.6857,14.0093,0.0588294
TCGA-AG-3882-01A-01R-0905-07,9.3163,28.6295,3.1238,98.4616,10.7879,0.17076531
TCGA-AG-3584-01A-01R-0821-07,12.384,53.4189,5.1379,43.7336,35.6637,0.18342108
TCGA-AF-2692-01A-01R-0821-07,18.2131,73.4833,7.4428,300.747,18.6467,0.0827033
TCGA-AG-A00H-01A-01R-A00A-07,13.7646,49.9959,4.6465,65.6663,14.5305,0.13402008
TCGA-AG-A026-01A-01R-A00A-07,9.9643,44.68,4.6903,203.1441,33.8085,0.04919121
TCGA-AG-A002-01A-01R-A002-07,33.2659,69.9901,10.4057,137.0088,40.2526,0.35078055
TCGA-AG-3883-01A-02R-0905-07,7.0364,41.3437,8.9634,177.028,15.6417,0.49959888
TCGA-AG-3611-01A-01R-0826-07,24.8854,47.7905,4.4464,39.9051,11.891,0.01445297
TCGA-AG-3583-01A-01R-0821-07,20.0253,53.4798,6.8516,57.9783,33.1931,0.18529409
TCGA-AF-2691-01A-01R-0821-07,24.8712,56.3818,4.9539,67.0506,28.1239,0.05791877
TCGA-AG-3878-01A-02R-0905-07,5.3467,32.5315,5.2151,128.6979,6.5333,0.2590602
TCGA-AG-3726-01A-02R-0905-07,2.5968,37.5989,10.1963,398.7301,5.5631,0.43255872
TCGA-AG-A011-01A-01R-A002-07,15.6372,38.7716,3.1561,29.4542,17.9839,0.2087163
TCGA-AG-3881-01A-01R-0905-07,5.2615,36.7903,3.1758,506.278,10.3739,0.52410781
TCGA-AG-3580-01A-01R-0821-07,25.5251,62.3708,11.0231,178.9375,30.7592,0.07581282
TCGA-AG-3898-01A-01R-1119-07,16.7163,58.5092,7.5532,70.1427,28.5904,0.18560834
TCGA-AF-3913-01A-02R-1119-07,24.0904,68.27,10.6005,50.7112,36.429,0.14602101
TCGA-AG-3608-01A-01R-0826-07,21.6124,49.7504,7.2595,64.5985,16.1046,0.05539121
TCGA-AG-4001-01A-02R-1119-07,19.1281,102.6761,8.5805,151.7927,36.3969,0.35325319
TCGA-AG-3901-01A-01R-1119-07,25.0419,60.7433,5.9575,120.198,91.7678,0.40979052
TCGA-AG-3593-01A-01R-0821-07,19.1203,62.8129,6.2367,44.85,77.2605,0.18889691
TCGA-AG-3894-01A-01R-1119-07,18.2813,60.2039,10.2681,128.2567,30.6444,0.07906415
TCGA-AF-3400-01A-01R-0821-07,21.784,59.4582,7.7569,179.3947,21.8323,0.78516243
TCGA-AG-3600-01A-01R-0826-07,23.5888,54.3991,7.6853,124.0222,13.267,0.07305226
TCGA-AG-A01N-01A-01R-A00A-07,16.6889,64.5118,5.9748,51.1974,12.3148,0.08023914
TCGA-AG-3605-01A-01R-0826-07,17.878,61.7135,7.7141,92.2987,25.97,0.08508064
TCGA-AG-3594-01A-02R-0821-07,34.3519,74.1079,7.1474,41.9569,26.6233,0.09043798
TCGA-AG-3586-01A-02R-0821-07,18.6179,62.9193,13.4517,62.9337,27.6734,0.21240295
TCGA-AG-3602-01A-02R-0826-07,23.2912,58.496,13.2524,74.9348,27.8964,0.08198525
TCGA-AG-A01Y-01A-41R-A083-07,29.1392,72.5438,8.941,72.001,12.9777,0.11434972
TCGA-AG-3582-01A-01R-0821-07,25.3304,48.6691,6.8597,60.5457,20.5105,0.13305011
TCGA-AG-3999-01A-01R-1119-07,13.1853,51.0394,4.8801,69.9994,19.3849,0.13599711
TCGA-AG-3885-01A-01R-0905-07,6.35,43.6704,6.1985,203.5133,14.3259,0.28970958
TCGA-AG-A032-01A-01R-A00A-07,11.9987,41.7438,3.5481,29.5627,22.7378,0.07372662
TCGA-AG-3587-01A-01R-0821-07,26.4754,76.5923,12.5534,147.1317,29.3434,0.11441121
TCGA-AG-4015-01A-01R-1119-07,14.8545,52.2579,5.2226,31.0778,12.13,0.04083986
TCGA-AG-3896-01A-01R-1119-07,16.2125,57.3385,5.669,31.9414,36.5761,0.22534339
