"","USP33","USP39","FBXO22","DDIT4","RGS5"
"TCGA-CM-4743-01A-01R-1723-07",20.1167,44.6191,8.8755,65.8897,33.2814
"TCGA-D5-6931-01A-11R-1928-07",34.5102,55.211,9.6937,110.8699,16.3968
"TCGA-AA-A00A-01A-01R-A002-07",25.7573,43.871,7.0685,134.3257,6.2013
"TCGA-AD-A5EK-01A-11R-A28H-07",25.2589,70.9294,9.3869,64.0133,29.411
"TCGA-A6-2680-01A-01R-1410-07",10.1762,63.373,8.9452,104.8266,24.7699
"TCGA-G4-6625-01A-21R-1774-07",21.1633,57.7294,5.701,41.837,54.0345
"TCGA-AA-A00O-01A-02R-A089-07",29.7128,39.1696,5.7583,69.6199,180.3811
"TCGA-G4-6298-01A-11R-1723-07",11.5542,63.5077,8.2321,55.4704,11.1163
"TCGA-AA-3842-01A-01R-1022-07",35.9014,71.7135,9.7518,59.7158,25.8546
"TCGA-RU-A8FL-01A-11R-A37K-07",15.4317,64.1444,5.3544,77.5863,15.5528
"TCGA-AM-5820-01A-01R-1653-07",32.7642,77.1116,19.0572,82.7194,68.8668
"TCGA-G4-6586-01A-11R-1774-07",22.2013,49.7634,9.3446,249.1398,4.8076
"TCGA-CK-4951-01A-01R-1410-07",24.3037,54.8946,9.4182,91.8508,18.5377
"TCGA-AA-3660-01A-01R-1723-07",25.5848,61.7754,8.4525,42.2592,41.5598
"TCGA-DM-A28E-01A-11R-A32Y-07",27.8716,53.6616,9.4926,56.1365,18.0606
"TCGA-AA-A01F-01A-01R-A002-07",11.0382,46.2478,5.9507,89.0057,6.0575
"TCGA-AY-A71X-01A-12R-A37K-07",25.746,41.3924,9.4374,43.9295,12.2823
"TCGA-AA-3966-01A-01R-1113-07",21.9132,56.8467,6.3333,178.8439,17.5071
"TCGA-AA-A029-01A-01R-A00A-07",14.9907,49.174,8.8379,178.8283,4.9359
"TCGA-NH-A6GA-01A-11R-A37K-07",19.5128,86.1334,14.859,69.6921,28.2763
"TCGA-CM-6162-01A-11R-1653-07",44.1475,60.7954,8.4997,82.0922,80.9657
"TCGA-AA-3955-01A-02R-1022-07",39.5364,76.4803,12.7785,51.224,45.0809
"TCGA-AZ-4615-01A-01R-1410-07",36.1052,72.501,12.3739,292.4297,14.7087
"TCGA-AA-A01G-01A-01R-A002-07",18.8725,59.9774,6.532,128.8434,15.4537
