"","USP33","USP39","FBXO22","DDIT4","RGS5"
"TCGA-CZ-4862-01A-01R-1305-07",58.7238,42.026,12.5266,160.3253,955.6091
"TCGA-A3-3380-01A-01R-0864-07",28.3793,23.0586,5.8951,362.1857,1531.809
"TCGA-B4-5836-01A-11R-1672-07",57.0492,36.3713,9.6924,390.3747,2850.5072
"TCGA-B8-A54D-01A-21R-A266-07",34.1517,22.4329,10.422,111.2732,119.2582
"TCGA-BP-4771-01A-01R-1289-07",24.7212,30.2636,6.7163,133.7065,838.1454
"TCGA-B0-4823-01A-02R-1420-07",32.2381,29.3151,6.9639,226.9292,1803.0366
"TCGA-AK-3434-01A-02R-1277-07",37.6866,28.6339,6.1309,329.2457,2386.6017
"TCGA-AK-3429-01A-02R-1325-07",34.5271,37.9469,7.9234,103.2207,1286.5815
"TCGA-BP-4765-01A-01R-1289-07",37.9212,31.5299,8.5311,213.17,2744.266
"TCGA-B0-5104-01A-01R-1420-07",28.152,28.0605,7.1949,116.2475,1465.8864
"TCGA-BP-4332-01A-01R-1289-07",39.2858,30.5257,5.4743,97.1133,2212.7707
"TCGA-BP-5168-01A-01R-1420-07",30.5776,21.0917,4.6951,71.8949,2952.8804
"TCGA-B0-5400-01A-01R-1503-07",19.6205,31.7945,6.1148,231.216,329.3856
"TCGA-BP-5202-01A-02R-1426-07",30.9351,28.7119,8.7068,302.4354,996.0637
"TCGA-B0-4846-01A-01R-1277-07",49.9485,35.0812,9.756,137.7741,3713.6753
"TCGA-B4-5377-01A-01R-1503-07",49.7811,31.9047,10.152,199.8669,1342.4803
"TCGA-BP-4177-01A-02R-1420-07",41.2247,36.5201,9.6288,187.4905,2423.3318
"TCGA-BP-5194-01A-02R-1426-07",38.3504,22.643,5.6161,216.5195,2119.4124
"TCGA-BP-4334-01A-01R-1289-07",7.6511,11.0464,4.1902,8.7258,11.7646
"TCGA-B0-4814-01A-01R-1277-07",34.6663,24.3995,6.3905,372.4039,1448.2947
