,Unnamed: 0,ANGPT2,CDH5,ESAM,ESM1,ERG,ICAM2,TIE1,EI Score
0,TCGA-CZ-4862-01A-01R-1305-07,25.3993,98.1981,131.8126,259.3296,17.3496,10.9122,36.5321,0.3539316146281045
1,TCGA-A3-3380-01A-01R-0864-07,35.7377,125.6081,254.5994,171.7835,29.2451,15.1771,59.5518,0.9425596367708966
2,TCGA-B4-5836-01A-11R-1672-07,75.968,170.4287,273.7694,705.988,33.8303,19.2672,59.6698,0.9995918783961609
3,TCGA-B8-A54D-01A-21R-A266-07,19.2211,32.1913,48.771,237.2147,8.5073,3.7436,24.5302,0.0002764038356487141
4,TCGA-BP-4771-01A-01R-1289-07,33.8879,75.9608,99.2823,151.8526,17.4139,9.2512,37.5586,0.04676820934052084
5,TCGA-B0-4823-01A-02R-1420-07,27.5497,126.4017,199.1929,400.85,23.3631,15.6864,52.6104,0.9512151073396409
6,TCGA-AK-3434-01A-02R-1277-07,73.7735,132.8638,241.4193,579.1472,22.1993,18.4129,85.9251,0.9837306827781764
7,TCGA-AK-3429-01A-02R-1325-07,45.9326,67.1213,124.2742,385.7895,13.5366,12.1723,28.2058,0.03603626200776313
8,TCGA-BP-4765-01A-01R-1289-07,26.6854,129.9414,212.7657,588.1207,35.959,19.1263,50.6973,0.9813624827004308
9,TCGA-B0-5104-01A-01R-1420-07,35.5959,50.8633,103.8935,140.745,12.6467,8.2887,25.8517,0.003823283979324791
10,TCGA-BP-4332-01A-01R-1289-07,44.842,125.7851,238.8534,440.0193,40.7475,13.1241,46.9161,0.9183813255467297
11,TCGA-BP-5168-01A-01R-1420-07,102.9345,139.4126,228.0437,729.5565,26.3148,14.7647,64.3543,0.9823410937747956
12,TCGA-B0-5400-01A-01R-1503-07,16.5716,18.4843,43.1467,38.9568,4.3919,3.9131,9.5541,7.855383882665369e-05
13,TCGA-BP-5202-01A-02R-1426-07,24.8844,121.5865,160.8778,150.933,24.892,11.4133,38.0676,0.8451254358162649
14,TCGA-B0-4846-01A-01R-1277-07,61.3804,82.9521,171.7253,439.4685,24.7599,10.2177,34.2798,0.10240282865684659
15,TCGA-B4-5377-01A-01R-1503-07,59.9381,79.92399999999999,145.9967,124.2996,18.5638,8.7606,38.5536,0.06090619721462753
16,TCGA-BP-4177-01A-02R-1420-07,51.8124,110.7325,183.1908,438.0794,25.8203,21.8199,46.0954,0.9353381809671223
17,TCGA-BP-5194-01A-02R-1426-07,79.5746,147.69899999999998,196.8983,701.9462,38.8625,12.9279,61.1014,0.988416933373609
18,TCGA-BP-4334-01A-01R-1289-07,3.4329,10.5279,14.4441,13.575,1.8174,0.8326,5.1795,2.0561881776200076e-05
19,TCGA-B0-4814-01A-01R-1277-07,26.1036,75.2085,154.6118,246.0188,14.2682,9.4748,34.1418,0.04553841929559159
20,TCGA-B0-5697-01A-11R-1541-07,26.6673,52.8289,75.3152,232.7462,10.0886,9.5543,21.7017,0.005853488927553088
21,TCGA-CJ-4869-01A-02R-1426-07,53.5338,63.248999999999995,127.5935,348.9246,11.9204,8.2872,32.8207,0.01216770293695521
22,TCGA-B8-4620-01A-02R-1325-07,130.4844,68.6937,130.46,239.0971,17.0864,7.8331,25.7423,0.01850319953833013
23,TCGA-B2-4098-01A-02R-1325-07,4.7219,5.8647,9.7992,10.7927,1.4588,2.3755,2.2569,1.7821074765669893e-05
24,TCGA-3Z-A93Z-01A-11R-A37O-07,41.6396,125.7846,303.0077,664.0065,30.0661,24.2229,88.7535,0.9895468092932226
25,TCGA-BP-4170-01A-02R-1289-07,61.4474,109.61200000000001,211.1744,230.3742,26.2002,16.4084,56.5815,0.8216790802163207
