"","USP33","USP39","FBXO22","DDIT4","RGS5"
"TCGA-AG-A00Y-01A-02R-A002-07",11.3533,71.5542,3.7492,35.5727,13.8463
"TCGA-EI-6511-01A-11R-1736-07",15.9312,49.5401,4.0362,64.8026,44.3033
"TCGA-EI-6883-01A-31R-1928-07",22.8254,62.1048,4.9214,53.1463,23.5
"TCGA-DC-6157-01A-11R-1660-07",28.1345,71.7521,8.3794,23.4005,43.6472
"TCGA-F5-6863-01A-11R-1928-07",27.542,102.0153,11.3656,34.1066,246.1677
"TCGA-EI-6881-01A-11R-A32Z-07",34.7161,73.0577,4.8184,26.847,40.4798
"TCGA-F5-6702-01A-11R-1830-07",25.4903,56.35,7.032,95.6149,72.7686
"TCGA-AG-3890-01A-01R-1119-07",14.8537,46.59,5.3473,66.7849,28.7777
"TCGA-EF-5831-01A-01R-1660-07",33.6276,82.6845,8.03,43.8437,36.7558
"TCGA-DY-A0XA-01A-11R-A155-07",24.8725,49.4073,8.9442,178.8583,15.7625
"TCGA-AG-3601-01A-01R-0826-07",19.3702,57.9962,6.5555,66.9812,24.6394
"TCGA-AG-4008-01A-01R-1119-07",24.5978,67.055,5.0704,62.6383,63.8858
"TCGA-BM-6198-01A-11R-1736-07",12.0149,50.092,4.4306,330.7066,7.3314
"TCGA-AG-A02G-01A-01R-A00A-07",9.481,62.4208,4.7995,47.4241,9.3127
"TCGA-EI-6508-01A-11R-1736-07",44.0971,68.1885,11.8869,36.3133,73.9565
"TCGA-G5-6235-01A-11R-1736-07",24.9735,38.5991,7.0429,20.132,20.0524
"TCGA-CL-5918-01A-11R-1660-07",16.9558,49.8561,4.3982,31.8846,28.0451
"TCGA-EI-6885-01A-11R-1928-07",26.0504,56.3632,6.8916,49.8539,53.2846
"TCGA-AF-A56K-01A-32R-A39D-07",14.8618,41.6062,5.4365,99.5284,69.7929
"TCGA-AF-2687-01A-02R-1736-07",30.8543,83.7529,8.9543,89.5514,89.2952
"TCGA-AG-3902-01A-01R-A32Z-07",28.3432,53.3775,9.2693,39.4801,18.1532
"TCGA-F5-6571-01A-12R-1830-07",31.6752,40.899,4.1432,37.0686,58.0997
"TCGA-AG-3609-01A-02R-0826-07",16.0646,69.3858,10.7698,43.7877,23.6403
"TCGA-AF-6672-01A-11R-1830-07",30.3739,46.9502,5.1085,29.4401,35.9459
"TCGA-AG-A02X-01A-01R-A00A-07",20.4271,53.904,5.0938,112.0698,12.2098
"TCGA-AG-A01W-01A-21R-A083-07",21.5514,67.4855,13.5427,70.9934,18.6743
"TCGA-AF-2693-01A-02R-1736-07",25.6456,57.6745,9.4237,58.8529,59.5185
"TCGA-AG-A01L-01A-01R-A002-07",19.0757,63.7064,6.892,96.5291,13.3952
"TCGA-EI-7002-01A-11R-1928-07",24.2412,62.6278,8.5383,39.3438,58.3598
"TCGA-AG-3574-01A-01R-0821-07",18.7284,51.4291,8.211,103.283,32.7274
"TCGA-EI-7004-01A-11R-1928-07",41.2754,41.0636,11.894,165.1613,258.3224
"TCGA-AG-A015-01A-01R-A002-07",19.7125,47.3923,6.0109,74.1169,12.6378
"TCGA-F5-6864-01A-11R-1928-07",35.0507,61.0287,8.4522,38.661,122.822
"TCGA-G5-6641-01A-11R-A32Z-07",23.3678,40.19,7.2083,13.1335,11.8268
