"","USP33","USP39","FBXO22","DDIT4","RGS5"
"TCGA-D1-A16V-01A-11R-A12I-07",23.7583,55.4879,4.7015,177.981,12.952
"TCGA-AJ-A3NF-01A-11R-A22K-07",26.9812,57.4197,3.7119,52.7107,78.928
"TCGA-D1-A16S-01A-11R-A12I-07",18.2794,50.2082,3.4206,46.1908,12.9067
"TCGA-B5-A5OE-01A-11R-A31O-07",36.6268,55.0512,8.6407,66.1228,11.3134
"TCGA-D1-A175-01A-11R-A12I-07",31.803,70.1811,9.0133,65.9472,22.4982
"TCGA-FI-A2EX-01A-11R-A17B-07",26.2348,57.819,7.7495,54.7711,17.8502
"TCGA-EC-A1NJ-01A-31R-A14D-07",29.3126,40.2319,5.6166,20.5472,71.7012
"TCGA-BK-A139-01A-11R-A277-07",154.7077,97.0708,17.9957,31.0664,23.4707
"TCGA-EY-A2OP-01A-11R-A19W-07",20.1202,70.3301,11.6269,250.5241,26.6872
"TCGA-EO-A22X-01A-11R-A180-07",22.762,87.8175,10.2242,490.1314,21.9427
"TCGA-AP-A056-01A-11R-A00V-07",37.652,72.8894,20.5729,250.2628,27.8159
"TCGA-DF-A2KV-01A-11R-A180-07",13.209,40.0222,6.2504,64.6226,4.9459
"TCGA-QS-A744-01A-11R-A34R-07",32.0727,60.1144,11.4429,106.1269,34.4967
"TCGA-AX-A2H7-01A-12R-A18M-07",22.4924,73.9922,5.2365,53.902,14.5607
"TCGA-D1-A16J-01A-11R-A12I-07",6.9052,37.933,6.7199,103.1479,5.3554
"TCGA-D1-A168-01A-31R-A12I-07",4.5079,45.2917,6.6742,276.0748,3.1512
"TCGA-B5-A3FH-01A-11R-A19W-07",28.7695,44.1047,8.4117,539.6919,27.1179
"TCGA-D1-A16G-01A-31R-A12I-07",15.1645,39.6036,8.9379,359.6449,4.3398
"TCGA-E6-A8L9-01A-21R-A37O-07",24.8174,97.0975,4.807,21.473,21.0987
"TCGA-AP-A1DV-01A-21R-A137-07",34.7906,52.7869,13.5897,119.001,15.3052
"TCGA-D1-A176-01A-11R-A12I-07",16.1292,44.0947,7.2247,51.3588,7.3954
"TCGA-A5-A0GU-01A-11R-A16W-07",35.6439,70.5988,8.857,850.2567,27.4879
"TCGA-EY-A3L3-01A-11R-A22K-07",46.0628,115.5901,11.7954,125.0613,53.9682
"TCGA-BG-A0W2-01A-11R-A109-07",25.674,57.281,8.7657,72.9964,22.635
"TCGA-BS-A0TG-01A-32R-A16W-07",10.9107,33.7483,4.8897,154.3172,36.8728
"TCGA-AJ-A2QK-01A-11R-A18M-07",23.3155,58.2024,7.1641,119.9369,38.7979
"TCGA-PG-A917-01A-31R-A37O-07",31.2284,50.6825,8.0109,49.2674,28.3817
"TCGA-D1-A162-01A-11R-A118-07",33.0815,61.252,8.5378,61.9086,27.3509
"TCGA-EY-A1G8-01A-11R-A13S-07",18.1532,80.4018,5.5648,243.7075,17.4719
"TCGA-FI-A2F8-01A-12R-A17B-07",23.9072,34.0002,4.2426,188.2458,26.5277
"TCGA-AJ-A3NC-01A-11R-A22K-07",31.6918,46.0262,8.7277,56.4132,94.3438
"TCGA-B5-A11X-01A-11R-A10J-07",17.0182,45.764,5.5437,67.2042,23.5019
"TCGA-EY-A1GC-01A-11R-A13S-07",14.3105,38.2107,4.6223,29.0364,7.5497
"TCGA-PG-A5BC-01A-12R-A27V-07",30.9742,61.426,6.3066,309.6756,36.2849
"TCGA-AP-A0LM-01A-11R-A118-07",20.5857,40.3374,4.6274,23.208,45.2837
"TCGA-AP-A0LG-01A-11R-A16W-07",29.8163,67.9193,9.278,150.6349,28.4758
"TCGA-BG-A0MI-01A-11R-A040-07",15.7189,64.9622,9.7332,128.5145,30.9707
"TCGA-AJ-A2QM-01A-11R-A18M-07",42.3807,89.4514,4.7504,21.2923,18.1734
"TCGA-E6-A2P8-01A-11R-A19W-07",23.676,63.7294,14.4766,66.6039,15.5327
"TCGA-AX-A0J0-01A-11R-A109-07",43.0118,122.5636,12.2317,818.8717,38.1633
"TCGA-D1-A17U-01A-21R-A12I-07",17.3942,47.2388,6.8719,365.7849,12.3822
"TCGA-AX-A0IU-01A-11R-A16W-07",32.6045,102.2309,5.5705,193.2569,16.4947
"TCGA-FI-A2D6-01A-11R-A17B-07",23.2251,92.1124,13.1749,243.4955,13.135
"TCGA-D1-A16F-01A-11R-A12I-07",19.6804,42.215,6.2026,230.7192,37.5438
"TCGA-EY-A548-01A-11R-A27V-07",21.4785,35.8467,7.4628,7.9536,22.4318
"TCGA-A5-A2K5-01A-11R-A180-07",8.601,50.9299,7.8966,36.1873,4.5741
"TCGA-B5-A3S1-01A-11R-A22K-07",43.4675,68.5291,5.3171,64.8168,30.3999
"TCGA-AJ-A3EL-01A-11R-A213-07",32.1371,69.8692,14.6824,159.2858,20.6349
"TCGA-B5-A0JR-01A-13R-A466-07",22.6009,51.634,9.6725,25.6922,16.2078
"TCGA-AX-A1CK-01A-11R-A137-07",15.1217,49.2813,5.1287,15.9449,16.7209
"TCGA-AX-A062-01A-11R-A00V-07",25.0284,39.1621,6.2659,21.1033,140.0446
"TCGA-D1-A1O7-01A-11R-A14D-07",25.1698,49.475,9.0729,147.9347,9.836
"TCGA-BS-A0UM-01A-11R-A104-07",22.9943,56.728,7.0743,50.4935,16.0804
"TCGA-AX-A1CN-01A-11R-A137-07",36.4262,75.6612,12.3094,38.3836,46.0909
"TCGA-FI-A2CY-01A-11R-A17B-07",48.6616,82.1452,10.4312,45.2208,8.3421
"TCGA-D1-A16Y-01A-31R-A12I-07",4.8731,52.5744,7.605,239.4645,8.2093
"TCGA-AJ-A3BG-01A-11R-A19W-07",15.7051,55.0758,6.927,80.916,10.6265
