,USP33,USP39,FBXO22,DDIT4,RGS5,EI
TCGA-AJ-A3NF,26.9812,57.4197,3.7119,52.7107,78.928,0.61654459
TCGA-B5-A5OE,36.6268,55.0512,8.6407,66.1228,11.3134,0.20552867
TCGA-BK-A139,154.7077,97.0708,17.9957,31.0664,23.4707,0.44076717
TCGA-EY-A2OP,20.1202,70.3301,11.6269,250.5241,26.6872,0.21786753
TCGA-EO-A22X,22.762,87.8175,10.2242,490.1314,21.9427,0.34145797
TCGA-DF-A2KV,13.209,40.0222,6.2504,64.6226,4.9459,0.10895481
TCGA-QS-A744,32.0727,60.1144,11.4429,106.1269,34.4967,0.21523555
TCGA-B5-A3FH,28.7695,44.1047,8.4117,539.6919,27.1179,0.2209943
TCGA-E6-A8L9,24.8174,97.0975,4.807,21.473,21.0987,0.62860157
TCGA-EY-A3L3,46.0628,115.5901,11.7954,125.0613,53.9682,0.35353009
TCGA-PG-A917,31.2284,50.6825,8.0109,49.2674,28.3817,0.10936104
TCGA-PG-A5BC,30.9742,61.426,6.3066,309.6756,36.2849,0.50455813
TCGA-AJ-A2QM,42.3807,89.4514,4.7504,21.2923,18.1734,0.14276017
TCGA-E6-A2P8,23.676,63.7294,14.4766,66.6039,15.5327,0.17382593
TCGA-AX-A0J0,43.0118,122.5636,12.2317,818.8717,38.1633,0.90640712
TCGA-EY-A548,21.4785,35.8467,7.4628,7.9536,22.4318,0.42471151
TCGA-A5-A2K5,8.601,50.9299,7.8966,36.1873,4.5741,0.33012588
TCGA-B5-A3S1,43.4675,68.5291,5.3171,64.8168,30.3999,0.15180153
TCGA-AJ-A3EL,32.1371,69.8692,14.6824,159.2858,20.6349,0.19529914
TCGA-B5-A0JR,22.6009,51.634,9.6725,25.6922,16.2078,0.36581755
TCGA-AJ-A3BG,15.7051,55.0758,6.927,80.916,10.6265,0.30284346
TCGA-AJ-A5DV,32.3889,40.3507,7.5927,79.2963,18.9526,0.16507768
TCGA-SL-A6JA,19.1859,41.4541,7.6006,302.5229,14.0433,0.15239675
TCGA-PG-A6IB,16.1713,60.5186,18.2021,24.6183,47.5821,0.1548753
TCGA-EO-A3AU,32.1022,66.1291,9.2486,216.7605,82.4503,0.39396816
TCGA-BK-A139,40.5543,93.3866,7.2397,269.1182,8.7774,0.44076717
TCGA-AJ-A3NG,47.7493,77.372,11.3213,167.2003,83.433,0.23231952
TCGA-5B-A90C,65.4793,72.5616,8.7579,16.6159,37.2134,0.41413885
TCGA-AJ-A3IA,22.5173,42.7938,3.2217,25.3898,15.7459,0.21880736
TCGA-AX-A3FV,15.0524,70.9226,18.6899,37.3386,24.9315,0.32488503
TCGA-AJ-A8CT,22.9702,22.9532,4.8077,47.1152,45.4204,0.15176674
TCGA-AX-A2HC,39.0379,121.2625,13.1891,42.841,27.6059,0.92892707
TCGA-DI-A2QT,17.0346,43.1594,7.0222,32.1816,8.1197,0.44085393
TCGA-B5-A11R,34.0932,60.0404,8.5895,91.3568,30.4334,0.26385536
TCGA-A5-A3LP,21.8728,49.4465,4.0315,85.9986,14.9887,0.60669003
TCGA-EO-A22Y,26.6452,55.118,6.7947,409.8701,57.0863,0.36004819
TCGA-EO-A3AV,22.2308,42.4799,10.877,317.135,30.7839,0.21397151
TCGA-AX-A2H4,14.8227,18.1028,4.6357,19.975,12.3708,0.57498314
TCGA-AJ-A2QO,26.7998,45.5494,8.7859,176.3424,20.2621,0.39690198
TCGA-5S-A9Q8,17.236,32.7285,4.186,25.4291,39.6853,0.21875084
TCGA-A5-A3LO,33.6568,84.4764,9.8485,86.7783,14.8633,0.13364523
TCGA-EO-A3B0,29.6461,93.9658,13.594,148.4185,28.9592,0.07659531
TCGA-SL-A6J9,19.2081,37.5118,6.4886,126.1656,3.8442,0.09006349
TCGA-EY-A547,15.3847,51.7623,4.3873,7.716,3.7737,0.16603403
TCGA-AX-A3G8,9.5749,39.2689,4.4762,14.6845,9.8625,0.14281196
TCGA-AJ-A3BF,29.233,79.3864,5.6391,65.9611,42.6228,0.20369755
TCGA-EY-A2ON,70.4656,40.5858,5.2416,72.4643,38.3821,0.69661272
TCGA-JU-AAVI,20.252,34.2405,3.636,7.9664,24.8847,0.17869333
TCGA-KP-A3W1,33.6498,22.6376,3.9505,29.3823,12.5417,0.52441042
TCGA-D1-A3JQ,41.2444,80.3556,7.11,138.9987,44.4965,0.27011693
TCGA-KP-A3W0,26.1354,68.6158,4.8303,14.8406,34.9874,0.23184354
TCGA-AJ-A3EK,38.9491,63.9819,13.067,166.108,40.4356,0.30303862
TCGA-AX-A3FW,23.697,40.2671,7.6923,19.8328,11.9171,0.47864222
TCGA-AJ-A8CW,28.9202,53.4067,9.776,18.1647,33.3058,0.15924015
