,Y,X
TCGA.3Z.A93Z,0.98766694,1
TCGA.6D.AA2E,0.36255827,1
TCGA.A3.3306,0.92174897,1
TCGA.A3.3307,0.98836888,1
TCGA.A3.3308,0.98626537,1
TCGA.A3.3311,0.92822204,1
TCGA.A3.3313,0.85968516,1
TCGA.A3.3316,0.97616825,1
TCGA.A3.3317,0.97144584,1
TCGA.A3.3319,0.62069291,1
TCGA.A3.3320,0.97218537,1
TCGA.A3.3322,0.95404848,1
TCGA.A3.3323,0.9798311,1
TCGA.A3.3324,0.98549456,1
TCGA.A3.3325,0.97956977,1
TCGA.A3.3326,0.96494648,1
TCGA.A3.3328,0.59856517,1
TCGA.A3.3329,0.9862746,1
TCGA.A3.3331,0.97966887,1
TCGA.A3.3335,0.8463787,1
TCGA.A3.3343,0.98778861,1
TCGA.A3.3346,0.28077119,1
TCGA.A3.3347,0.88455376,1
TCGA.A3.3349,0.99420453,1
TCGA.A3.3351,0.98283625,1
TCGA.A3.3352,0.98540133,1
TCGA.A3.3357,0.89922014,1
TCGA.A3.3359,0.96239593,1
TCGA.A3.3362,0.96947268,1
TCGA.A3.3363,0.05734397,1
TCGA.A3.3365,0.99134694,1
TCGA.A3.3367,0.95451908,1
TCGA.A3.3370,0.97025242,1
TCGA.A3.3372,0.99243822,1
TCGA.A3.3373,0.97475133,1
TCGA.A3.3374,0.364528,1
TCGA.A3.3376,0.99491449,1
TCGA.A3.3378,0.86631493,1
TCGA.A3.3380,0.98291906,1
TCGA.A3.3382,0.96097975,1
TCGA.A3.3383,0.96469503,1
TCGA.A3.3385,0.81837831,1
TCGA.A3.A6NI,0.95803689,1
TCGA.A3.A6NJ,0.964007,1
TCGA.A3.A6NL,0.99647176,1
TCGA.A3.A6NN,0.99038907,1
TCGA.A3.A8CQ,0.98606024,1
TCGA.A3.A8OU,0.97385553,1
TCGA.A3.A8OV,0.92699255,1
TCGA.A3.A8OW,0.98917935,1
TCGA.A3.A8OX,0.95322304,1
TCGA.AK.3425,0.95407558,1
TCGA.AK.3426,0.83194692,1
TCGA.AK.3427,0.77753779,1
TCGA.AK.3428,0.98163086,1
TCGA.AK.3429,0.96154368,1
TCGA.AK.3431,0.99535327,1
TCGA.AK.3433,0.65844282,1
TCGA.AK.3434,0.99178997,1
TCGA.AK.3436,0.9611741,1
TCGA.AK.3440,0.7758149,1
TCGA.AK.3443,0.5460497,1
TCGA.AK.3444,0.96583275,1
TCGA.AK.3445,0.95595195,1
TCGA.AK.3447,0.62597217,1
TCGA.AK.3450,0.96558415,1
TCGA.AK.3451,0.90007986,1
TCGA.AK.3453,0.32644452,1
TCGA.AK.3454,0.98015056,1
TCGA.AK.3455,0.93308214,1
TCGA.AK.3456,0.47412537,1
TCGA.AK.3458,0.80393865,1
TCGA.AK.3460,0.98657542,1
TCGA.AK.3461,0.9826049,1
TCGA.AK.3465,0.86252903,1
TCGA.AS.3777,0.58016892,1
TCGA.AS.3778,0.96464883,1
TCGA.B0.4688,0.56008069,1
TCGA.B0.4690,0.86926909,1
TCGA.B0.4691,0.90920778,1
TCGA.B0.4693,0.97522049,1
TCGA.B0.4694,0.93558155,1
TCGA.B0.4696,0.18119899,1
TCGA.B0.4697,0.91596704,1
TCGA.B0.4698,0.68595741,1
TCGA.B0.4699,0.40648131,1
TCGA.B0.4701,0.95431032,1
TCGA.B0.4703,0.97542859,1
TCGA.B0.4706,0.9368311,1
TCGA.B0.4707,0.54415378,1
TCGA.B0.4710,0.97085103,1
TCGA.B0.4713,0.76391835,1
TCGA.B0.4714,0.9765148,1
TCGA.B0.4718,0.99153676,1
TCGA.B0.4810,0.98492058,1
TCGA.B0.4811,0.9655915,1
TCGA.B0.4813,0.96251998,1
TCGA.B0.4814,0.94397874,1
TCGA.B0.4815,0.89224342,1
TCGA.B0.4816,0.98881004,1
TCGA.B0.4817,0.5223185,1
TCGA.B0.4818,0.98299014,1
TCGA.B0.4819,0.96492538,1
TCGA.B0.4821,0.92456557,1
TCGA.B0.4822,0.98851173,1
TCGA.B0.4823,0.97335188,1
TCGA.B0.4824,0.97182911,1
TCGA.B0.4827,0.9663983,1
TCGA.B0.4828,0.81291163,1
TCGA.B0.4833,0.9712465,1
TCGA.B0.4834,0.93117622,1
TCGA.B0.4836,0.92717266,1
TCGA.B0.4837,0.98637793,1
TCGA.B0.4838,0.96496608,1
TCGA.B0.4839,0.99186313,1
TCGA.B0.4841,0.99668111,1
TCGA.B0.4842,0.8773584,1
TCGA.B0.4843,0.99493897,1
TCGA.B0.4844,0.72332899,1
TCGA.B0.4845,0.99002751,1
TCGA.B0.4846,0.96820068,1
TCGA.B0.4847,0.87276879,1
TCGA.B0.4848,0.96059649,1
TCGA.B0.4849,0.98597598,1
TCGA.B0.4852,0.97393058,1
TCGA.B0.4945,0.99187711,1
TCGA.B0.5075,0.66524083,1
TCGA.B0.5077,0.96511999,1
TCGA.B0.5080,0.99587588,1
TCGA.B0.5081,0.98210836,1
TCGA.B0.5083,0.83782777,1
TCGA.B0.5084,0.48670639,1
TCGA.B0.5085,0.96017496,1
TCGA.B0.5088,0.98139434,1
TCGA.B0.5092,0.93737031,1
TCGA.B0.5094,0.63171364,1
TCGA.B0.5095,0.99197848,1
TCGA.B0.5096,0.87733061,1
TCGA.B0.5097,0.99360232,1
TCGA.B0.5098,0.10410691,1
TCGA.B0.5099,0.98754276,1
TCGA.B0.5100,0.98038071,1
TCGA.B0.5102,0.96483064,1
TCGA.B0.5104,0.93808759,1
